date,state,17-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,other,total
2013-04-25,Malaysia,240,100,69,38,32,20,5,7,0,0,511
2013-04-26,Malaysia,87,50,31,17,13,9,6,0,0,0,213
2013-04-27,Malaysia,217,88,36,25,28,24,10,3,0,0,431
2013-04-28,Malaysia,146,105,96,100,69,44,40,11,1,1,613
2013-04-29,Malaysia,121,85,63,34,15,11,11,5,0,0,345
2013-04-30,Malaysia,150,82,52,58,23,16,13,1,0,2,397
2013-05-01,Malaysia,223,115,90,88,78,50,35,12,4,2,697
2013-05-02,Malaysia,131,26,16,10,8,5,3,1,0,0,200
2013-05-03,Malaysia,74,22,24,9,5,9,5,2,0,0,150
2013-05-04,Malaysia,111,47,21,9,13,4,5,5,0,1,216
2013-05-05,Malaysia,0,0,0,0,0,0,0,0,0,0,0
2013-05-06,Malaysia,37,18,9,14,4,2,3,1,1,0,89
2013-05-07,Malaysia,123,26,13,11,14,6,6,0,1,0,200
2013-05-08,Malaysia,228,88,58,34,29,18,7,2,0,0,464
2013-05-09,Malaysia,329,81,72,38,35,26,17,5,1,0,604
2013-05-10,Malaysia,130,39,22,11,5,7,2,1,0,0,217
2013-05-11,Malaysia,381,63,53,37,31,25,12,4,0,0,606
2013-05-12,Malaysia,179,122,92,82,65,54,28,15,1,1,639
2013-05-13,Malaysia,107,74,53,36,28,10,6,3,0,1,318
